company_0,company_1,company_2,company_3,company_4,company_5,company_6,company_7,company_8,company_9
180.583768,171.161710,182.131426,173.557031,180.801507,187.489147,183.723915,185.585904,178.149153,185.029577
184.534521,176.632856,188.553753,187.727942,187.743513,192.818088,192.680103,190.048176,187.313537,187.478819
188.655197,177.596016,201.356626,190.863211,193.634899,197.981359,189.624958,201.384569,182.224236,204.567332
199.177733,197.478982,204.999859,191.763310,198.715344,202.703239,195.718213,202.237907,192.482112,207.170405
201.042715,200.757389,211.064941,202.758328,206.321221,210.552717,206.752208,210.240829,195.312235,202.434497
209.974862,209.548954,209.248682,203.308097,204.269493,216.275476,216.501739,208.462946,211.446388,205.230459
213.470035,209.919956,210.593937,205.802185,210.288139,222.772479,221.484089,210.340779,218.621778,213.113981
221.450493,211.406199,219.159172,213.728591,211.418917,223.920997,222.377439,217.464435,219.948724,213.558288
214.132509,216.162686,222.490376,217.731425,218.660287,225.768797,214.695052,218.134461,226.943256,220.198541
219.424701,222.197218,226.775172,206.611801,222.968923,217.703572,215.799408,231.859855,229.095705,222.712605
225.756075,225.549896,224.896078,208.489624,217.486391,229.144784,220.868446,238.167293,235.643799,222.902099
222.132078,215.370233,231.173056,213.346075,220.419156,236.126015,227.637254,239.683851,233.830632,223.165701
236.541966,221.826419,227.952171,215.296751,220.122010,233.082825,230.561452,239.675488,234.307900,229.480032
228.352033,226.019791,234.239675,221.652620,225.798117,229.993011,232.531898,236.449119,230.302488,227.925608
231.243539,227.659167,232.725485,225.017722,221.624076,235.149037,235.912240,245.481995,234.021537,232.276103
224.791722,223.612746,233.523274,229.671292,227.350242,229.912865,236.421309,245.858237,241.983010,233.427248
226.455205,230.115996,231.461439,228.799556,225.259650,228.507424,237.334893,247.549580,238.003963,228.210754
231.705903,234.356035,232.771960,233.884750,225.116997,229.180440,233.217664,246.421051,240.174005,233.371275
230.724570,234.226419,226.813392,231.884913,222.427588,235.925758,244.817503,252.782483,239.310380,226.154955
237.769184,232.915500,233.326337,231.504090,228.168688,235.093642,239.157127,243.863360,236.211671,228.031322
245.489769,235.459210,236.980336,233.464872,224.057045,235.422085,240.072011,244.387700,232.138838,230.484208
243.190146,234.192568,228.237700,228.085668,229.510959,241.335750,237.842022,234.033421,244.660027,235.744106
240.151862,238.671351,236.359911,230.537266,224.915960,236.512298,234.850727,235.098606,241.577066,233.700602
241.915061,233.520629,232.843563,228.223249,227.116113,238.012757,241.138246,237.284997,243.066237,233.043586
244.597443,227.503669,231.139179,229.824061,230.005989,234.923506,245.182798,243.382489,237.409452,229.170398
243.166200,233.074902,230.702362,233.643108,230.101201,231.707923,238.501396,247.385472,242.543809,232.227680
243.623859,237.876965,230.544521,227.181545,226.053508,232.738631,241.983060,245.534993,239.110289,234.821119
244.451781,229.947435,242.945244,229.646366,230.605757,226.629118,238.318868,246.421849,235.872142,231.052144
240.023207,236.842557,236.910480,237.549117,226.990204,232.090915,236.679851,248.703773,231.856788,236.791519
239.519578,236.563745,236.067845,236.243455,228.101399,234.767262,234.978643,239.963470,235.764392,237.587347
243.360951,234.933545,235.462553,238.725298,225.158407,236.352463,236.003959,232.807883,238.683275,237.968863
238.909454,232.400420,243.090618,236.617528,223.921258,237.943393,237.084531,234.449484,239.060281,235.688572
242.005315,228.540710,244.897681,236.019852,226.587911,239.894035,234.425088,234.039327,234.206081,239.521309
243.789906,231.459648,242.718970,232.162932,229.442138,240.385077,234.882846,242.410060,232.755771,228.751666
241.276926,232.791411,249.012691,228.581531,226.039990,239.960146,232.045894,239.058773,235.962014,234.989612
244.970059,231.336240,239.414773,231.067589,234.309075,232.176462,232.936503,242.156479,234.159386,240.483060
239.180086,233.518776,243.971016,227.256471,234.065615,237.347710,234.820163,241.160890,232.493688,240.622179
237.889810,231.858726,235.927995,234.713390,229.596759,234.628399,236.323683,242.438048,234.137271,239.881069
237.033637,228.179449,233.693535,234.387839,233.428446,231.911972,238.554684,244.951731,234.175723,243.688798
234.125624,227.195391,245.971954,238.969790,232.026715,239.041588,236.084618,237.973870,239.404627,234.636107
235.076915,231.564579,237.707802,240.170519,234.828006,238.332265,236.147346,239.502641,236.280284,237.862126
236.040038,233.252675,243.420026,232.125364,235.244202,235.103137,236.371130,239.260418,239.681915,235.609360
237.786926,233.445818,237.058957,239.264485,234.357771,235.904520,231.429208,238.878382,241.185264,239.607578
235.849929,230.282216,236.959570,235.947711,231.632808,234.010275,234.561243,237.880699,240.341514,242.628593
235.458942,228.886760,234.249444,238.328568,225.554863,235.912725,235.392845,241.277888,245.788243,245.389813
237.492415,231.696281,242.161028,242.358273,227.507245,237.628668,233.343947,242.353574,236.703919,234.195622
235.373079,230.641000,246.379336,239.198695,224.560562,238.803022,236.394502,241.106088,239.589300,239.024818
237.120318,233.381066,248.513343,235.938336,224.777942,235.222401,231.174472,237.722708,235.600567,237.408946
